Ecoponto,Endereço,CEP,Observação
Viaduto Engenheiro Alberto Badra,"Avenida Aricanduva, nº 200 - Praça Lúcia Mekhitarian – Bairro: Aricanduva (baixo do Viaduto Engenheiro Alberto Badra)",03501-010,Este ecoponto recebe gesso
Astarte,"Rua Astarte, nº 500 – Bairro: Vila Carrão",03446-090,Este ecoponto recebe gesso
Nova York,"Rua Amélia Vanso Magnoli, nº 480 – Bairro: Conjunto Habitacional Barreira Grande",03907-010,
Aricanduva ,"Rua Professor Alzira de Oliveira Gilioli, nº 400 – Bairro: Jardim Nice",03905-090,Este ecoponto recebe gesso
Jardim Maria do Carmo,"Rua Caminho do Engenho, nº 800 – Bairro: Ferreira",05524-000,
Jardim Jaqueline,"Parque Raposo Tavares - Rua Walter Brito Belletti, s/nº - Bairro: Vila Albano",05543-040,Este ecoponto recebe gesso
Politécnica,"Rua Paulino Baptista Conti, nº 2 – Bairro: Jardim Sarah",05382-140,
Giovani Gronchi,"Avenida Giovani Gronchi, nº 3413 – Bairro: Morumbi",05651-002,
Santo Dias,"Travessa Rosifloras, nº 301 – Bairro: Conjunto Habitacional Instituto Adventista",05868-600,
Parque Fernanda,"Avenida Doutor Salvador Rocco, nº 261, defronte Rua Antônio Cânon – Bairro: Parque",05888-050,
Olinda,"Rua Nelson Brissac, nº 1235, esquina com Avenida Padre Adolfo Kolping – Bairro: Parque Regina ",05773-110,
Vila das Belezas,"Rua Campo Novo do Sul, nº 500 – Bairro: Vila Andrade",05729-100,Este ecoponto recebe gesso
Paraisópolis,"Rua Irapará, nº 73 – Bairro: Paraíso do Morumbi",05706-300,
Cidade Saudável,"Rua Ptolomeu, nº 869 – Bairro: Vila Socorro",04762-040,Este ecoponto recebe gesso
Parque Peruche,"Avenida Engenheiro Caetano Álvares, nº 3142 – Bairro: Parque Peruche",02535-008,
Vila Nova Cachoeirinha,"Rua Felix Alves Pereira, nº 113 – Bairro: Jardim Centenário",02882-030,
Vila Santa Maria,Rua André Bolsena com a Travessa Luiz Sá – Bairro Vila Santista,02560-170,
Jardim Antártica,"Rua Dom Aquino, nº 103 – Bairro: Jardim Antártica",02652-170,
São Leandro,"Rua São Leandro, nº 13 – Bairro: Vila Palmeiras",02725-010,
Alvarenga,"Estrada do Alvarenga, nº 2475 – Bairro: Balneário Mar Paulista",04467-000,
Cupecê,"Rua Anália Maria de Jesus, nº 130 – Trav. Av. Cupecê – Bairro: Jardim Itacolomi",04385-110,
Nascer do Sol,"Rua Nascer do Sol, nº 356 – Bairro: Conjunto Habitacional Santa Etelvina II",08485-020,
Setor G,"Rua Alfonso Asturaro, altura do nº 600 – Bairro: Conjunto Habitacional Barro Branco II",08473-591,
Inácio Monteiro,"Rua Regresso Feliz, nº 1190 - Bairro: Conjunto Habitacional Inácio Monteiro",08472-210,Este ecoponto recebe gesso
Jardim São Nicolau,"Rua Agreste de Itabaiana, nº 590, esquina com a Rua Eduardo Kyioshi Shimuta – Bairro: Vila União (Zona Leste)",03683-000,
Boturussu,"Rua Nélio Batista Guimarães, nº 183 – Bairro: Parque Boturussu",03802-005,
Bandeirantes,"Rua Itaiquara, nº 237 - Bairro: Itaberaba",02803-050,
Freguesia do Ó,"Rua Sousa Filho, nº 690 – Bairro: Vila União (Zona Norte)",02911-135,
Vila Rica,"Rua Jorge Mamede da Silva, nº 200 – Bairro: Vila Souza",02860-050,
Jardim São Paulo,"Rua Utaro Kanai, nº 374 – Bairro: Conjunto Habitacional Juscelino Kubitschek",08465-000,
Guaiaponto,"Rua da Passagem Funda, nº 250 – Bairro: Vila Santa Cruz (Zona Leste)",08411-010,Este ecoponto recebe gesso
Lajeado,"Rua Isabela, nº405 – Bairro: Jardim Lajeado",08411-010,
Padre Nildo do Amaral,"Rua Padre Nildo do Amaral Júnior, nº 900 – Bairro: Vila Nova Curuçá",08032-650,
Tereza Cristina,"Rua Tereza Cristina, nº 10, esquina com Avenida do Estado – Bairro: Vila Monumento",01553-000,Este ecoponto recebe gesso
Santa Cruz,"Rua Santa Cruz, nº 1452 (Baixo do Viaduto Santa Cruz) – Bairro: Vila Mariana",04122-000,
Vila das Mercês,"Rua Italva, nº 86 – Bairro: Saúde",04294-030,
Comandante Taylor,"Rua Comandante Taylor, nº 690 (Baixo do Viaduto Comandante Taylor) – Bairro: Ipiranga",04218-000,
Moreira,"Rua João Batista de Godói, nº 1164 – Bairro: Jardim das Oliveiras",08111-430,
Mãe Preta,"Avenida Dama Entre Verdes, nº 21, - Bairro: Vila Curuçá",08030-610,Este ecoponto recebe gesso
Pesqueiro,"Rua Caiuás, nº 18, esquina com a Avenida Itamerendiba – Bairro: Jardim Ida Guedes",08120-580,Este ecoponto recebe gesso
Flamingo,"Rua Alexandre Dias Nogueira, nº353 – Bairro: Vila Nova Curuçá",08031-240,
Itaim Paulista,"Rua Barão de Almeida Galeão, altura do nº61 – Bairro: Itaim Paulista",08575-210,
Jardim Indaiá,"Rua Rossini Pinto, altura do nº 214 – Bairro: Jardim Indaiá",08143-030,
Parque Guarani,"Rua Manuel Alves da Rocha, nº 584 – Bairro: Parque Guarani",08235-620,
Oswaldo Valle Cordeiro,"Av. Osvaldo Valle Cordeiro, nº 405 – Bairro: Jardim Brasília (Zona Leste)",03584-000,Este ecoponto recebe gesso
Cidade Lider,"Rua Charles Manguin, nº 20- Bairro: Jardim Marília",03579-150,
Parque do Carmo,"Rua Machado Nunes, nº 95 – Bairro: Jardim Nossa Senhora do Carmo",08275-310,
Corinthians,"Rua Ana Perena, nº 155 – Bairro: Conjunto Residencial José Bonifácio",08253-230,Este ecoponto recebe gesso
Caldeirão,"Rua Major Vitorino de Souza Rocha, altura do nº148 – Bairro: Vila Santa Teresinha",08247-080,
Imigrantes,Rua Opixe - Bairro: Vila Guarani (Zona Sul),04312-080,Este ecoponto recebe gesso
Jabaquara,"Rua Jupatis, nº140 – Bairro: Vila Mira",04377-200,Este ecoponto recebe gesso
Anselmo Machado,"Avenida Paulo Lincoln do Valle Pontin, altura do nº 550 – Bairro: Jaçanã",02273-011,
Silvio Bittencourt,"Rua Maria Amália Lopes Azevedo, nº 4008 – Bairro: Vila Albertina",02350-003,
Viaduto Antártica,Rua Robert Bosch (Baixos Viaduto Antártica) – Bairro: Parque Industrial Tomas Edson,01141-010,
Vila Jaguara,"Rua Agrestina, nº 189 – Bairro: Vila Jaguara",05117-100,
Piraporinha,"Rua João de Abreu, nº326 – Bairro: Jardim Tupã",04904-000,Este ecoponto recebe gesso
São Luis,"Rua Pedro Armani, nº 252 – Bairro: Jardim Letícia",05820-220,
Bresser,"Pça. Giuseppe Cesari, nº 54 (Baixo do Viaduto Bresser) – Bairro: Brás",03053-000,Este ecoponto recebe gesso
Tatuapé,"Avenida Salim Farah Maluf, nº 179, Praça Tito Lívio Ferreira (Central de Triagem) – Bairro: Tatuapé",03076-000,Este ecoponto recebe gesso
